id,text,sentiment,domain
1023,तंत्रज्ञान विभागामध्ये गुणवत्तेअभावी वापरकर्त्यांनी नाराजी व्यक्त केली.,Negative,तंत्रज्ञान
1024,बँकिंग संदर्भात बैठकीचा अहवाल सर्वांना पाठवण्यात आला.,Neutral,बँकिंग
1025,प्रवास क्षेत्रामध्ये कार्य पूर्ण झाल्याने समाधान व्यक्त करण्यात आले.,Positive,प्रवास
1026,क्रीडा विभागामध्ये सिस्टम प्रतिसाद देत नव्हती.,Negative,क्रीडा
1027,चित्रपट संदर्भात अधिकृत सूचना ईमेलद्वारे देण्यात आली.,Neutral,चित्रपट
1028,रेस्टॉरंट क्षेत्रामध्ये अंतिम निकाल अपेक्षेपेक्षा अधिक चांगला होता.,Positive,उपाहारगृह
1029,ई-कॉमर्स विभागामध्ये अनुभव समाधानकारक वाटला नाही.,Negative,ऑनलाइन व्यापार
1030,अन्न वितरण संदर्भात नवीन मार्गदर्शक तत्त्वे जाहीर करण्यात आली आहेत.,Neutral,अन्न वितरण
1031,मोबाईल अॅप क्षेत्रामध्ये संपूर्ण प्रक्रिया अत्यंत यशस्वी ठरली.,Positive,मोबाईल अॅप्स
1032,सरकारी सेवा विभागामध्ये अपुरी माहितीमुळे निर्णय घेणे कठीण झाले.,Negative,सरकारी सेवा
1033,सोशल मीडिया संदर्भात नोंदणीसाठी स्वतंत्र लिंक उपलब्ध करून देण्यात आली.,Neutral,सामाजिक माध्यमे
1034,शेती क्षेत्रामध्ये नवीन सुविधेचा सर्वांना मोठा लाभ झाला.,Positive,शेती
1035,फॅशन विभागामध्ये वारंवार होणाऱ्या विलंबामुळे गैरसोय झाली.,Negative,वेशभूषा
1036,मनोरंजन संदर्भात नवीन नियम आजपासून लागू झाले.,Neutral,मनोरंजन
1037,ग्राहक सेवा क्षेत्रामध्ये वेळेचे नियोजन उत्कृष्ट झाले.,Positive,ग्राहक सेवा
1038,सार्वजनिक वाहतूक विभागामध्ये अपेक्षित निकाल मिळू शकला नाही.,Negative,सार्वजनिक वाहतूक
1039,ऑनलाइन खरेदी संदर्भात अंतिम निर्णय पुढील आठवड्यात घोषित केला जाईल.,Neutral,ऑनलाइन खरेदी
1040,कार्यालय क्षेत्रामध्ये नवीन प्रयोगामुळे उल्लेखनीय सुधारणा दिसून आली.,Positive,कार्यालय
1041,शिक्षण विभागामध्ये अपुरी माहितीमुळे निर्णय घेणे कठीण झाले.,Negative,शिक्षण
1042,आरोग्य संदर्भात नोंदणीसाठी स्वतंत्र लिंक उपलब्ध करून देण्यात आली.,Neutral,आरोग्यसेवा
1043,तंत्रज्ञान क्षेत्रामध्ये नवीन सुविधेचा सर्वांना मोठा लाभ झाला.,Positive,तंत्रज्ञान
1044,बँकिंग विभागामध्ये वारंवार होणाऱ्या विलंबामुळे गैरसोय झाली.,Negative,बँकिंग
1045,प्रवास संदर्भात नवीन नियम आजपासून लागू झाले.,Neutral,प्रवास
1046,क्रीडा क्षेत्रामध्ये वेळेचे नियोजन उत्कृष्ट झाले.,Positive,क्रीडा
1047,चित्रपट विभागामध्ये अपेक्षित निकाल मिळू शकला नाही.,Negative,चित्रपट
1048,रेस्टॉरंट संदर्भात अंतिम निर्णय पुढील आठवड्यात घोषित केला जाईल.,Neutral,उपाहारगृह
1049,ई-कॉमर्स क्षेत्रामध्ये नवीन प्रयोगामुळे उल्लेखनीय सुधारणा दिसून आली.,Positive,ऑनलाइन व्यापार
1050,अन्न वितरण विभागामध्ये तांत्रिक दोषामुळे सेवा बंद ठेवावी लागली.,Negative,अन्न वितरण
1051,मोबाईल अॅप संदर्भात पुढील टप्प्याचे वेळापत्रक प्रसिद्ध झाले आहे.,Neutral,मोबाईल अॅप्स
1052,सरकारी सेवा क्षेत्रामध्ये सेवेचा दर्जा लक्षणीयरीत्या उंचावला.,Positive,सरकारी सेवा
1053,सोशल मीडिया विभागामध्ये प्रक्रियेत अनेक चुका आढळून आल्या.,Negative,सामाजिक माध्यमे
1054,शेती संदर्भात प्रक्रिया नियोजित वेळेनुसार सुरू आहे.,Neutral,शेती
1055,फॅशन क्षेत्रामध्ये कामकाज पूर्वीपेक्षा अधिक प्रभावी झाले.,Positive,वेशभूषा
1056,मनोरंजन विभागामध्ये संसाधनांच्या कमतरतेमुळे काम रखडले.,Negative,मनोरंजन
1057,ग्राहक सेवा संदर्भात संबंधित कागदपत्रे तपासणीसाठी सादर करण्यात आली.,Neutral,ग्राहक सेवा
1058,सार्वजनिक वाहतूक क्षेत्रामध्ये सर्व विभागांनी उत्तम समन्वय साधला.,Positive,सार्वजनिक वाहतूक
1059,ऑनलाइन खरेदी विभागामध्ये सततच्या अडचणींमुळे नियोजन विस्कळीत झाले.,Negative,ऑनलाइन खरेदी
1060,कार्यालय संदर्भात अद्ययावत माहिती पोर्टलवर उपलब्ध आहे.,Neutral,कार्यालय
1061,शिक्षण क्षेत्रामध्ये सेवेचा दर्जा लक्षणीयरीत्या उंचावला.,Positive,शिक्षण
1062,आरोग्य विभागामध्ये प्रक्रियेत अनेक चुका आढळून आल्या.,Negative,आरोग्यसेवा
1063,तंत्रज्ञान संदर्भात प्रक्रिया नियोजित वेळेनुसार सुरू आहे.,Neutral,तंत्रज्ञान
1064,बँकिंग क्षेत्रामध्ये कामकाज पूर्वीपेक्षा अधिक प्रभावी झाले.,Positive,बँकिंग
1065,प्रवास विभागामध्ये संसाधनांच्या कमतरतेमुळे काम रखडले.,Negative,प्रवास
1066,क्रीडा संदर्भात संबंधित कागदपत्रे तपासणीसाठी सादर करण्यात आली.,Neutral,क्रीडा
1067,चित्रपट क्षेत्रामध्ये सर्व विभागांनी उत्तम समन्वय साधला.,Positive,चित्रपट
1068,रेस्टॉरंट विभागामध्ये सततच्या अडचणींमुळे नियोजन विस्कळीत झाले.,Negative,उपाहारगृह
1069,ई-कॉमर्स संदर्भात अद्ययावत माहिती पोर्टलवर उपलब्ध आहे.,Neutral,ऑनलाइन व्यापार
1070,अन्न वितरण क्षेत्रामध्ये सहभागींनी उपक्रमाचे मनापासून स्वागत केले.,Positive,अन्न वितरण
1071,मोबाईल अॅप विभागामध्ये गुणवत्तेअभावी वापरकर्त्यांनी नाराजी व्यक्त केली.,Negative,मोबाईल अॅप्स
1072,सरकारी सेवा संदर्भात बैठकीचा अहवाल सर्वांना पाठवण्यात आला.,Neutral,सरकारी सेवा
1073,सोशल मीडिया क्षेत्रामध्ये कार्य पूर्ण झाल्याने समाधान व्यक्त करण्यात आले.,Positive,सामाजिक माध्यमे
1074,शेती विभागामध्ये सिस्टम प्रतिसाद देत नव्हती.,Negative,शेती
1075,फॅशन संदर्भात अधिकृत सूचना ईमेलद्वारे देण्यात आली.,Neutral,वेशभूषा
1076,मनोरंजन क्षेत्रामध्ये अंतिम निकाल अपेक्षेपेक्षा अधिक चांगला होता.,Positive,मनोरंजन
1077,ग्राहक सेवा विभागामध्ये अनुभव समाधानकारक वाटला नाही.,Negative,ग्राहक सेवा
1078,सार्वजनिक वाहतूक संदर्भात नवीन मार्गदर्शक तत्त्वे जाहीर करण्यात आली आहेत.,Neutral,सार्वजनिक वाहतूक
1079,ऑनलाइन खरेदी क्षेत्रामध्ये संपूर्ण प्रक्रिया अत्यंत यशस्वी ठरली.,Positive,ऑनलाइन खरेदी
1080,कार्यालय विभागामध्ये अपुरी माहितीमुळे निर्णय घेणे कठीण झाले.,Negative,कार्यालय
1081,शिक्षण संदर्भात बैठकीचा अहवाल सर्वांना पाठवण्यात आला.,Neutral,शिक्षण
1082,आरोग्य क्षेत्रामध्ये कार्य पूर्ण झाल्याने समाधान व्यक्त करण्यात आले.,Positive,आरोग्यसेवा
1083,तंत्रज्ञान विभागामध्ये सिस्टम प्रतिसाद देत नव्हती.,Negative,तंत्रज्ञान
1084,बँकिंग संदर्भात अधिकृत सूचना ईमेलद्वारे देण्यात आली.,Neutral,बँकिंग
1085,प्रवास क्षेत्रामध्ये अंतिम निकाल अपेक्षेपेक्षा अधिक चांगला होता.,Positive,प्रवास
1086,क्रीडा विभागामध्ये अनुभव समाधानकारक वाटला नाही.,Negative,क्रीडा
1087,चित्रपट संदर्भात नवीन मार्गदर्शक तत्त्वे जाहीर करण्यात आली आहेत.,Neutral,चित्रपट
1088,रेस्टॉरंट क्षेत्रामध्ये संपूर्ण प्रक्रिया अत्यंत यशस्वी ठरली.,Positive,उपाहारगृह
1089,ई-कॉमर्स विभागामध्ये अपुरी माहितीमुळे निर्णय घेणे कठीण झाले.,Negative,ऑनलाइन व्यापार
1090,अन्न वितरण संदर्भात नोंदणीसाठी स्वतंत्र लिंक उपलब्ध करून देण्यात आली.,Neutral,अन्न वितरण
1091,मोबाईल अॅप क्षेत्रामध्ये नवीन सुविधेचा सर्वांना मोठा लाभ झाला.,Positive,मोबाईल अॅप्स
1092,सरकारी सेवा विभागामध्ये वारंवार होणाऱ्या विलंबामुळे गैरसोय झाली.,Negative,सरकारी सेवा
1093,सोशल मीडिया संदर्भात नवीन नियम आजपासून लागू झाले.,Neutral,सामाजिक माध्यमे
1094,शेती क्षेत्रामध्ये वेळेचे नियोजन उत्कृष्ट झाले.,Positive,शेती
1095,फॅशन विभागामध्ये अपेक्षित निकाल मिळू शकला नाही.,Negative,वेशभूषा
1096,मनोरंजन संदर्भात अंतिम निर्णय पुढील आठवड्यात घोषित केला जाईल.,Neutral,मनोरंजन
1097,ग्राहक सेवा क्षेत्रामध्ये नवीन प्रयोगामुळे उल्लेखनीय सुधारणा दिसून आली.,Positive,ग्राहक सेवा
1098,सार्वजनिक वाहतूक विभागामध्ये तांत्रिक दोषामुळे सेवा बंद ठेवावी लागली.,Negative,सार्वजनिक वाहतूक
1099,ऑनलाइन खरेदी संदर्भात पुढील टप्प्याचे वेळापत्रक प्रसिद्ध झाले आहे.,Neutral,ऑनलाइन खरेदी
1100,कार्यालय क्षेत्रामध्ये सेवेचा दर्जा लक्षणीयरीत्या उंचावला.,Positive,कार्यालय
1101,शिक्षण विभागामध्ये वारंवार होणाऱ्या विलंबामुळे गैरसोय झाली.,Negative,शिक्षण
1102,आरोग्य संदर्भात नवीन नियम आजपासून लागू झाले.,Neutral,आरोग्यसेवा
1103,तंत्रज्ञान क्षेत्रामध्ये वेळेचे नियोजन उत्कृष्ट झाले.,Positive,तंत्रज्ञान
1104,बँकिंग विभागामध्ये अपेक्षित निकाल मिळू शकला नाही.,Negative,बँकिंग
1105,प्रवास संदर्भात अंतिम निर्णय पुढील आठवड्यात घोषित केला जाईल.,Neutral,प्रवास
1106,क्रीडा क्षेत्रामध्ये नवीन प्रयोगामुळे उल्लेखनीय सुधारणा दिसून आली.,Positive,क्रीडा
1107,चित्रपट विभागामध्ये तांत्रिक दोषामुळे सेवा बंद ठेवावी लागली.,Negative,चित्रपट
1108,रेस्टॉरंट संदर्भात पुढील टप्प्याचे वेळापत्रक प्रसिद्ध झाले आहे.,Neutral,उपाहारगृह
1109,ई-कॉमर्स क्षेत्रामध्ये सेवेचा दर्जा लक्षणीयरीत्या उंचावला.,Positive,ऑनलाइन व्यापार
1110,अन्न वितरण विभागामध्ये प्रक्रियेत अनेक चुका आढळून आल्या.,Negative,अन्न वितरण
1111,मोबाईल अॅप संदर्भात प्रक्रिया नियोजित वेळेनुसार सुरू आहे.,Neutral,मोबाईल अॅप्स
1112,सरकारी सेवा क्षेत्रामध्ये कामकाज पूर्वीपेक्षा अधिक प्रभावी झाले.,Positive,सरकारी सेवा
1113,सोशल मीडिया विभागामध्ये संसाधनांच्या कमतरतेमुळे काम रखडले.,Negative,सामाजिक माध्यमे
1114,शेती संदर्भात संबंधित कागदपत्रे तपासणीसाठी सादर करण्यात आली.,Neutral,शेती
1115,फॅशन क्षेत्रामध्ये सर्व विभागांनी उत्तम समन्वय साधला.,Positive,वेशभूषा
1116,मनोरंजन विभागामध्ये सततच्या अडचणींमुळे नियोजन विस्कळीत झाले.,Negative,मनोरंजन
1117,ग्राहक सेवा संदर्भात अद्ययावत माहिती पोर्टलवर उपलब्ध आहे.,Neutral,ग्राहक सेवा
1118,सार्वजनिक वाहतूक क्षेत्रामध्ये सहभागींनी उपक्रमाचे मनापासून स्वागत केले.,Positive,सार्वजनिक वाहतूक
1119,ऑनलाइन खरेदी विभागामध्ये गुणवत्तेअभावी वापरकर्त्यांनी नाराजी व्यक्त केली.,Negative,ऑनलाइन खरेदी
1120,कार्यालय संदर्भात बैठकीचा अहवाल सर्वांना पाठवण्यात आला.,Neutral,कार्यालय
1121,शिक्षण क्षेत्रामध्ये कामकाज पूर्वीपेक्षा अधिक प्रभावी झाले.,Positive,शिक्षण
1122,आरोग्य विभागामध्ये संसाधनांच्या कमतरतेमुळे काम रखडले.,Negative,आरोग्यसेवा
1123,तंत्रज्ञान संदर्भात संबंधित कागदपत्रे तपासणीसाठी सादर करण्यात आली.,Neutral,तंत्रज्ञान
1124,बँकिंग क्षेत्रामध्ये सर्व विभागांनी उत्तम समन्वय साधला.,Positive,बँकिंग
1125,प्रवास विभागामध्ये सततच्या अडचणींमुळे नियोजन विस्कळीत झाले.,Negative,प्रवास
1126,क्रीडा संदर्भात अद्ययावत माहिती पोर्टलवर उपलब्ध आहे.,Neutral,क्रीडा
1127,चित्रपट क्षेत्रामध्ये सहभागींनी उपक्रमाचे मनापासून स्वागत केले.,Positive,चित्रपट
1128,रेस्टॉरंट विभागामध्ये गुणवत्तेअभावी वापरकर्त्यांनी नाराजी व्यक्त केली.,Negative,उपाहारगृह
1129,ई-कॉमर्स संदर्भात बैठकीचा अहवाल सर्वांना पाठवण्यात आला.,Neutral,ऑनलाइन व्यापार
1130,अन्न वितरण क्षेत्रामध्ये कार्य पूर्ण झाल्याने समाधान व्यक्त करण्यात आले.,Positive,अन्न वितरण
1131,मोबाईल अॅप विभागामध्ये सिस्टम प्रतिसाद देत नव्हती.,Negative,मोबाईल अॅप्स
1132,सरकारी सेवा संदर्भात अधिकृत सूचना ईमेलद्वारे देण्यात आली.,Neutral,सरकारी सेवा
1133,सोशल मीडिया क्षेत्रामध्ये अंतिम निकाल अपेक्षेपेक्षा अधिक चांगला होता.,Positive,सामाजिक माध्यमे
1134,शेती विभागामध्ये अनुभव समाधानकारक वाटला नाही.,Negative,शेती
1135,फॅशन संदर्भात नवीन मार्गदर्शक तत्त्वे जाहीर करण्यात आली आहेत.,Neutral,वेशभूषा
1136,मनोरंजन क्षेत्रामध्ये संपूर्ण प्रक्रिया अत्यंत यशस्वी ठरली.,Positive,मनोरंजन
1137,ग्राहक सेवा विभागामध्ये अपुरी माहितीमुळे निर्णय घेणे कठीण झाले.,Negative,ग्राहक सेवा
1138,सार्वजनिक वाहतूक संदर्भात नोंदणीसाठी स्वतंत्र लिंक उपलब्ध करून देण्यात आली.,Neutral,सार्वजनिक वाहतूक
1139,ऑनलाइन खरेदी क्षेत्रामध्ये नवीन सुविधेचा सर्वांना मोठा लाभ झाला.,Positive,ऑनलाइन खरेदी
1140,कार्यालय विभागामध्ये वारंवार होणाऱ्या विलंबामुळे गैरसोय झाली.,Negative,कार्यालय
1141,शिक्षण संदर्भात अधिकृत सूचना ईमेलद्वारे देण्यात आली.,Neutral,शिक्षण
1142,आरोग्य क्षेत्रामध्ये अंतिम निकाल अपेक्षेपेक्षा अधिक चांगला होता.,Positive,आरोग्यसेवा
1143,तंत्रज्ञान विभागामध्ये अनुभव समाधानकारक वाटला नाही.,Negative,तंत्रज्ञान
1144,बँकिंग संदर्भात नवीन मार्गदर्शक तत्त्वे जाहीर करण्यात आली आहेत.,Neutral,बँकिंग
1145,प्रवास क्षेत्रामध्ये संपूर्ण प्रक्रिया अत्यंत यशस्वी ठरली.,Positive,प्रवास
1146,क्रीडा विभागामध्ये अपुरी माहितीमुळे निर्णय घेणे कठीण झाले.,Negative,क्रीडा
1147,चित्रपट संदर्भात नोंदणीसाठी स्वतंत्र लिंक उपलब्ध करून देण्यात आली.,Neutral,चित्रपट
1148,रेस्टॉरंट क्षेत्रामध्ये नवीन सुविधेचा सर्वांना मोठा लाभ झाला.,Positive,उपाहारगृह
1149,ई-कॉमर्स विभागामध्ये वारंवार होणाऱ्या विलंबामुळे गैरसोय झाली.,Negative,ऑनलाइन व्यापार
1150,अन्न वितरण संदर्भात नवीन नियम आजपासून लागू झाले.,Neutral,अन्न वितरण
1151,मोबाईल अॅप क्षेत्रामध्ये वेळेचे नियोजन उत्कृष्ट झाले.,Positive,मोबाईल अॅप्स
1152,सरकारी सेवा विभागामध्ये अपेक्षित निकाल मिळू शकला नाही.,Negative,सरकारी सेवा
1153,सोशल मीडिया संदर्भात अंतिम निर्णय पुढील आठवड्यात घोषित केला जाईल.,Neutral,सामाजिक माध्यमे
1154,शेती क्षेत्रामध्ये नवीन प्रयोगामुळे उल्लेखनीय सुधारणा दिसून आली.,Positive,शेती
1155,फॅशन विभागामध्ये तांत्रिक दोषामुळे सेवा बंद ठेवावी लागली.,Negative,वेशभूषा
1156,मनोरंजन संदर्भात पुढील टप्प्याचे वेळापत्रक प्रसिद्ध झाले आहे.,Neutral,मनोरंजन
1157,ग्राहक सेवा क्षेत्रामध्ये सेवेचा दर्जा लक्षणीयरीत्या उंचावला.,Positive,ग्राहक सेवा
1158,सार्वजनिक वाहतूक विभागामध्ये प्रक्रियेत अनेक चुका आढळून आल्या.,Negative,सार्वजनिक वाहतूक
1159,ऑनलाइन खरेदी संदर्भात प्रक्रिया नियोजित वेळेनुसार सुरू आहे.,Neutral,ऑनलाइन खरेदी
1160,कार्यालय क्षेत्रामध्ये कामकाज पूर्वीपेक्षा अधिक प्रभावी झाले.,Positive,कार्यालय
1161,शिक्षण विभागामध्ये अपेक्षित निकाल मिळू शकला नाही.,Negative,शिक्षण
1162,आरोग्य संदर्भात अंतिम निर्णय पुढील आठवड्यात घोषित केला जाईल.,Neutral,आरोग्यसेवा
1163,तंत्रज्ञान क्षेत्रामध्ये नवीन प्रयोगामुळे उल्लेखनीय सुधारणा दिसून आली.,Positive,तंत्रज्ञान
1164,बँकिंग विभागामध्ये तांत्रिक दोषामुळे सेवा बंद ठेवावी लागली.,Negative,बँकिंग
1165,प्रवास संदर्भात पुढील टप्प्याचे वेळापत्रक प्रसिद्ध झाले आहे.,Neutral,प्रवास
1166,क्रीडा क्षेत्रामध्ये सेवेचा दर्जा लक्षणीयरीत्या उंचावला.,Positive,क्रीडा
1167,चित्रपट विभागामध्ये प्रक्रियेत अनेक चुका आढळून आल्या.,Negative,चित्रपट
1168,रेस्टॉरंट संदर्भात प्रक्रिया नियोजित वेळेनुसार सुरू आहे.,Neutral,उपाहारगृह
1169,ई-कॉमर्स क्षेत्रामध्ये कामकाज पूर्वीपेक्षा अधिक प्रभावी झाले.,Positive,ऑनलाइन व्यापार
1170,अन्न वितरण विभागामध्ये संसाधनांच्या कमतरतेमुळे काम रखडले.,Negative,अन्न वितरण
1171,मोबाईल अॅप संदर्भात संबंधित कागदपत्रे तपासणीसाठी सादर करण्यात आली.,Neutral,मोबाईल अॅप्स
1172,सरकारी सेवा क्षेत्रामध्ये सर्व विभागांनी उत्तम समन्वय साधला.,Positive,सरकारी सेवा
1173,सोशल मीडिया विभागामध्ये सततच्या अडचणींमुळे नियोजन विस्कळीत झाले.,Negative,सामाजिक माध्यमे
1174,शेती संदर्भात अद्ययावत माहिती पोर्टलवर उपलब्ध आहे.,Neutral,शेती
1175,फॅशन क्षेत्रामध्ये सहभागींनी उपक्रमाचे मनापासून स्वागत केले.,Positive,वेशभूषा
1176,मनोरंजन विभागामध्ये गुणवत्तेअभावी वापरकर्त्यांनी नाराजी व्यक्त केली.,Negative,मनोरंजन
1177,ग्राहक सेवा संदर्भात बैठकीचा अहवाल सर्वांना पाठवण्यात आला.,Neutral,ग्राहक सेवा
1178,सार्वजनिक वाहतूक क्षेत्रामध्ये कार्य पूर्ण झाल्याने समाधान व्यक्त करण्यात आले.,Positive,सार्वजनिक वाहतूक
1179,ऑनलाइन खरेदी विभागामध्ये सिस्टम प्रतिसाद देत नव्हती.,Negative,ऑनलाइन खरेदी
1180,कार्यालय संदर्भात अधिकृत सूचना ईमेलद्वारे देण्यात आली.,Neutral,कार्यालय
1181,शिक्षण क्षेत्रामध्ये सर्व विभागांनी उत्तम समन्वय साधला.,Positive,शिक्षण
1182,आरोग्य विभागामध्ये सततच्या अडचणींमुळे नियोजन विस्कळीत झाले.,Negative,आरोग्यसेवा
1183,तंत्रज्ञान संदर्भात अद्ययावत माहिती पोर्टलवर उपलब्ध आहे.,Neutral,तंत्रज्ञान
1184,बँकिंग क्षेत्रामध्ये सहभागींनी उपक्रमाचे मनापासून स्वागत केले.,Positive,बँकिंग
1185,प्रवास विभागामध्ये गुणवत्तेअभावी वापरकर्त्यांनी नाराजी व्यक्त केली.,Negative,प्रवास
1186,क्रीडा संदर्भात बैठकीचा अहवाल सर्वांना पाठवण्यात आला.,Neutral,क्रीडा
1187,चित्रपट क्षेत्रामध्ये कार्य पूर्ण झाल्याने समाधान व्यक्त करण्यात आले.,Positive,चित्रपट
1188,रेस्टॉरंट विभागामध्ये सिस्टम प्रतिसाद देत नव्हती.,Negative,उपाहारगृह
1189,ई-कॉमर्स संदर्भात अधिकृत सूचना ईमेलद्वारे देण्यात आली.,Neutral,ऑनलाइन व्यापार
1190,अन्न वितरण क्षेत्रामध्ये अंतिम निकाल अपेक्षेपेक्षा अधिक चांगला होता.,Positive,अन्न वितरण
1191,मोबाईल अॅप विभागामध्ये अनुभव समाधानकारक वाटला नाही.,Negative,मोबाईल अॅप्स
1192,सरकारी सेवा संदर्भात नवीन मार्गदर्शक तत्त्वे जाहीर करण्यात आली आहेत.,Neutral,सरकारी सेवा
1193,सोशल मीडिया क्षेत्रामध्ये संपूर्ण प्रक्रिया अत्यंत यशस्वी ठरली.,Positive,सामाजिक माध्यमे
1194,शेती विभागामध्ये अपुरी माहितीमुळे निर्णय घेणे कठीण झाले.,Negative,शेती
1195,फॅशन संदर्भात नोंदणीसाठी स्वतंत्र लिंक उपलब्ध करून देण्यात आली.,Neutral,वेशभूषा
1196,मनोरंजन क्षेत्रामध्ये नवीन सुविधेचा सर्वांना मोठा लाभ झाला.,Positive,मनोरंजन
1197,ग्राहक सेवा विभागामध्ये वारंवार होणाऱ्या विलंबामुळे गैरसोय झाली.,Negative,ग्राहक सेवा
1198,सार्वजनिक वाहतूक संदर्भात नवीन नियम आजपासून लागू झाले.,Neutral,सार्वजनिक वाहतूक
1199,ऑनलाइन खरेदी क्षेत्रामध्ये वेळेचे नियोजन उत्कृष्ट झाले.,Positive,ऑनलाइन खरेदी
1200,कार्यालय विभागामध्ये अपेक्षित निकाल मिळू शकला नाही.,Negative,कार्यालय
1201,शिक्षण संदर्भात नवीन मार्गदर्शक तत्त्वे जाहीर करण्यात आली आहेत.,Neutral,शिक्षण
1202,आरोग्य क्षेत्रामध्ये संपूर्ण प्रक्रिया अत्यंत यशस्वी ठरली.,Positive,आरोग्यसेवा
1203,तंत्रज्ञान विभागामध्ये अपुरी माहितीमुळे निर्णय घेणे कठीण झाले.,Negative,तंत्रज्ञान
1204,बँकिंग संदर्भात नोंदणीसाठी स्वतंत्र लिंक उपलब्ध करून देण्यात आली.,Neutral,बँकिंग
1205,प्रवास क्षेत्रामध्ये नवीन सुविधेचा सर्वांना मोठा लाभ झाला.,Positive,प्रवास
1206,क्रीडा विभागामध्ये वारंवार होणाऱ्या विलंबामुळे गैरसोय झाली.,Negative,क्रीडा
1207,चित्रपट संदर्भात नवीन नियम आजपासून लागू झाले.,Neutral,चित्रपट
1208,रेस्टॉरंट क्षेत्रामध्ये वेळेचे नियोजन उत्कृष्ट झाले.,Positive,उपाहारगृह
1209,ई-कॉमर्स विभागामध्ये अपेक्षित निकाल मिळू शकला नाही.,Negative,ऑनलाइन व्यापार
1210,अन्न वितरण संदर्भात अंतिम निर्णय पुढील आठवड्यात घोषित केला जाईल.,Neutral,अन्न वितरण
1211,मोबाईल अॅप क्षेत्रामध्ये नवीन प्रयोगामुळे उल्लेखनीय सुधारणा दिसून आली.,Positive,मोबाईल अॅप्स
1212,सरकारी सेवा विभागामध्ये तांत्रिक दोषामुळे सेवा बंद ठेवावी लागली.,Negative,सरकारी सेवा
1213,सोशल मीडिया संदर्भात पुढील टप्प्याचे वेळापत्रक प्रसिद्ध झाले आहे.,Neutral,सामाजिक माध्यमे
1214,शेती क्षेत्रामध्ये सेवेचा दर्जा लक्षणीयरीत्या उंचावला.,Positive,शेती
1215,फॅशन विभागामध्ये प्रक्रियेत अनेक चुका आढळून आल्या.,Negative,वेशभूषा
1216,मनोरंजन संदर्भात प्रक्रिया नियोजित वेळेनुसार सुरू आहे.,Neutral,मनोरंजन
1217,ग्राहक सेवा क्षेत्रामध्ये कामकाज पूर्वीपेक्षा अधिक प्रभावी झाले.,Positive,ग्राहक सेवा
1218,सार्वजनिक वाहतूक विभागामध्ये संसाधनांच्या कमतरतेमुळे काम रखडले.,Negative,सार्वजनिक वाहतूक
1219,ऑनलाइन खरेदी संदर्भात संबंधित कागदपत्रे तपासणीसाठी सादर करण्यात आली.,Neutral,ऑनलाइन खरेदी
1220,कार्यालय क्षेत्रामध्ये सर्व विभागांनी उत्तम समन्वय साधला.,Positive,कार्यालय
1221,शिक्षण विभागामध्ये तांत्रिक दोषामुळे सेवा बंद ठेवावी लागली.,Negative,शिक्षण
1222,आरोग्य संदर्भात पुढील टप्प्याचे वेळापत्रक प्रसिद्ध झाले आहे.,Neutral,आरोग्यसेवा
1223,तंत्रज्ञान क्षेत्रामध्ये सेवेचा दर्जा लक्षणीयरीत्या उंचावला.,Positive,तंत्रज्ञान
1224,बँकिंग विभागामध्ये प्रक्रियेत अनेक चुका आढळून आल्या.,Negative,बँकिंग
1225,प्रवास संदर्भात प्रक्रिया नियोजित वेळेनुसार सुरू आहे.,Neutral,प्रवास
1226,क्रीडा क्षेत्रामध्ये कामकाज पूर्वीपेक्षा अधिक प्रभावी झाले.,Positive,क्रीडा
1227,चित्रपट विभागामध्ये संसाधनांच्या कमतरतेमुळे काम रखडले.,Negative,चित्रपट
1228,रेस्टॉरंट संदर्भात संबंधित कागदपत्रे तपासणीसाठी सादर करण्यात आली.,Neutral,उपाहारगृह
1229,ई-कॉमर्स क्षेत्रामध्ये सर्व विभागांनी उत्तम समन्वय साधला.,Positive,ऑनलाइन व्यापार
1230,अन्न वितरण विभागामध्ये सततच्या अडचणींमुळे नियोजन विस्कळीत झाले.,Negative,अन्न वितरण
1231,मोबाईल अॅप संदर्भात अद्ययावत माहिती पोर्टलवर उपलब्ध आहे.,Neutral,मोबाईल अॅप्स
1232,सरकारी सेवा क्षेत्रामध्ये सहभागींनी उपक्रमाचे मनापासून स्वागत केले.,Positive,सरकारी सेवा
1233,सोशल मीडिया विभागामध्ये गुणवत्तेअभावी वापरकर्त्यांनी नाराजी व्यक्त केली.,Negative,सामाजिक माध्यमे
1234,शेती संदर्भात बैठकीचा अहवाल सर्वांना पाठवण्यात आला.,Neutral,शेती
1235,फॅशन क्षेत्रामध्ये कार्य पूर्ण झाल्याने समाधान व्यक्त करण्यात आले.,Positive,वेशभूषा
1236,मनोरंजन विभागामध्ये सिस्टम प्रतिसाद देत नव्हती.,Negative,मनोरंजन
1237,ग्राहक सेवा संदर्भात अधिकृत सूचना ईमेलद्वारे देण्यात आली.,Neutral,ग्राहक सेवा
1238,सार्वजनिक वाहतूक क्षेत्रामध्ये अंतिम निकाल अपेक्षेपेक्षा अधिक चांगला होता.,Positive,सार्वजनिक वाहतूक
1239,ऑनलाइन खरेदी विभागामध्ये अनुभव समाधानकारक वाटला नाही.,Negative,ऑनलाइन खरेदी
1240,कार्यालय संदर्भात नवीन मार्गदर्शक तत्त्वे जाहीर करण्यात आली आहेत.,Neutral,कार्यालय
